Old ID,New ID,Date,Year,Month,Common Name,Species,Latitude,Longitude,Island_Atoll,Binary_Location,PCL (cm),FL (cm),TL (cm),Sex,d13C,d15N,C:N
122,CAM-34,4/12/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-7.15125,72.12915,SandesSchwarz,WiderArchipelago,88,98,120,M,-17.2,14.4,3.3
38,CAL-33,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.150033333,72.13373333,SandesSchwarz,WiderArchipelago,118,129,156.5,F,-16.0,14.9,3.2
41,CAL-42,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.1496,72.13205,SandesSchwarz,WiderArchipelago,87,97,115,F,-16.1,14.3,3.2
61,CAL-70,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.149333333,72.13455,SandesSchwarz,WiderArchipelago,90,100,123,F,-14.6,11.9,3.0
62,CAL-71,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.14905,72.13735,SandesSchwarz,WiderArchipelago,86,97,113,M,-16.4,13.6,3.3
60,CAL-69,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.14685,72.13671667,SandesSchwarz,WiderArchipelago,118,133,151,F,-16.1,14.5,3.3
39,CAL-34,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.146583333,72.13973333,SandesSchwarz,WiderArchipelago,100,112,122,M,-15.8,14.6,3.2
57,CAL-64,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.146266667,72.13741667,SandesSchwarz,WiderArchipelago,118,130,160,M,-16.3,14.2,3.2
40,CAL-35,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.145266667,72.1427,SandesSchwarz,WiderArchipelago,105,117,142,M,-16.0,13.6,3.3
63,CAL-74,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.145233333,72.14275,SandesSchwarz,WiderArchipelago,117,131,159,F,-16.4,14.1,3.3
54,CAL-56,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.144516667,72.13936667,SandesSchwarz,WiderArchipelago,122,135,166,F,-16.8,14.5,3.1
56,CAL-61,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.1441,72.14436667,SandesSchwarz,WiderArchipelago,104,117,136,M,-17.2,15.0,3.5
59,CAL-68,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.143733333,72.14595,SandesSchwarz,WiderArchipelago,111,127,156,M,-16.3,14.4,3.2
55,CAL-59,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.1396,72.14951667,SandesSchwarz,WiderArchipelago,101,112,137,F,-15.5,14.1,3.2
58,CAL-66,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,95,104,146,F,-16.3,15.2,3.3
46,CAL-48,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,95,106,129,F,-16.6,14.1,3.3
51,CAL-53,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,104,115,136,F,-16.9,14.7,3.6
52,CAL-54,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,113,126,160,F,-16.1,14.8,3.3
45,CAL-47,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,123,134,161,F,-16.4,14.6,3.2
47,CAL-49,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,122,136,165,F,-16.6,14.4,3.3
53,CAL-55,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,105,117,136,M,-16.2,14.1,3.2
44,CAL-46,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,110,119,144,M,-18.0,16.8,4.0
48,CAL-50,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,111,120,152,M,-16.4,14.0,3.2
42,CAL-43,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,113,126,151,M,-16.8,16.2,3.4
49,CAL-51,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,114,127,149,M,-16.3,14.4,3.2
43,CAL-45,4/12/16,2016,4,Silvertip Shark,C. albimarginatus,-7.138233333,72.19671667,SandesSchwarz,WiderArchipelago,156,171,208,M,-16.4,14.5,3.2
73,CAM-27,3/24/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-6.64435,71.3387,Egmont,WiderArchipelago,54,58,73,F,-13.0,14.2,3.2
84,CAM-54,4/10/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-6.637983333,71.34731667,Egmont,WiderArchipelago,72,81,97,F,-16.3,14.3,3.2
126,CAM-53,4/10/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-6.636333333,#VALUE!,Egmont,WiderArchipelago,88,98,118,F,-15.6,14.2,3.2
14,CAL-73,4/10/16,2016,4,Silvertip Shark,C. albimarginatus,-6.636,71.3495,Egmont,WiderArchipelago,85,94,112,M,-16.1,14.3,3.2
85,CAM-55,4/10/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-6.636,71.3495,Egmont,WiderArchipelago,90,101,120,F,-14.9,14.0,3.2
86,CAM-58,4/10/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-6.636,71.3495,Egmont,WiderArchipelago,105,113,171,F,-14.0,14.7,3.2
6,CAL-18,3/25/15,2015,3,Silvertip Shark,C. albimarginatus,-6.632516667,71.34108333,Egmont,WiderArchipelago,81,89,106,F,-15.2,13.9,3.1
9,CAL-27,3/25/15,2015,3,Silvertip Shark,C. albimarginatus,-6.632516667,71.34108333,Egmont,WiderArchipelago,81,91,109,M,-15.9,14.7,3.2
11,CAL-31,3/25/15,2015,3,Silvertip Shark,C. albimarginatus,-6.632516667,71.34108333,Egmont,WiderArchipelago,93,104,123,M,-15.8,14.7,3.2
7,CAL-21,3/25/15,2015,3,Silvertip Shark,C. albimarginatus,-6.632516667,71.34108333,Egmont,WiderArchipelago,105,116,134,M,-13.2,12.5,2.9
8,CAL-25,3/25/15,2015,3,Silvertip Shark,C. albimarginatus,-6.632516667,71.34108333,Egmont,WiderArchipelago,142,157,181,M,-15.9,14.1,3.3
10,CAL-30,3/25/15,2015,3,Silvertip Shark,C. albimarginatus,-6.632516667,71.34108333,Egmont,WiderArchipelago,87,96,117,U,-16.6,13.8,3.3
71,CAM-15,3/25/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-6.632516667,71.34108333,Egmont,WiderArchipelago,92,103,124,F,-14.9,14.7,3.3
74,CAM-52,4/10/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-6.632516667,71.34108333,Egmont,WiderArchipelago,98,108,127,F,-14.1,14.9,3.1
72,CAM-22,3/25/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-6.632516667,71.34108333,Egmont,WiderArchipelago,111,123,146,U,-14.6,15.5,3.3
70,CAM-57,4/9/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-6.153141667,70.52274444,Offshore,WiderArchipelago,79,89,105,M,-15.5,15.6,3.3
12,CAL-57,4/9/16,2016,4,Silvertip Shark,C. albimarginatus,-5.824083333,71.5675,GCB,WiderArchipelago,140,160,203,F,-16.6,14.3,3.2
15,CAL-19,3/23/15,2015,3,Silvertip Shark,C. albimarginatus,-5.662916667,72.05141667,GCB,WiderArchipelago,90,99,119,F,-15.8,15.2,3.3
16,CAL-29,3/23/15,2015,3,Silvertip Shark,C. albimarginatus,-5.662916667,72.05141667,GCB,WiderArchipelago,120,135,166,F,-16.7,14.2,3.3
90,CAM-18,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,50,56,70,F,-15.4,15.1,3.1
91,CAM-19,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,72,80,96,F,-15.6,14.6,3.2
95,CAM-9,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,75,80,97,F,-15.9,14.0,3.2
88,CAM-11,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,74,82,98,F,-15.2,14.8,3.2
87,CAM-10,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,81,87,105,F,-14.6,15.1,3.2
93,CAM-23,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,86,96,114,F,-15.4,14.6,3.2
94,CAM-25,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,96,105,125,M,-15.2,15.0,3.3
92,CAM-21,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,98,109,131,M,-15.7,14.0,3.2
89,CAM-14,3/23/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.662916667,72.05141667,GCB,WiderArchipelago,78,87,106,M ,-15.5,14.9,3.2
66,CAL-3,3/27/14,2014,3,Silvertip Shark,C. albimarginatus,-5.54635,72.2158,Victory,WiderArchipelago,84,94,114,F,-15.7,14.5,3.2
68,CAL-67,4/15/16,2016,4,Silvertip Shark,C. albimarginatus,-5.5455,72.21511667,Victory,WiderArchipelago,89,100,121,F,-15.4,14.2,3.1
64,CAL-23,3/22/15,2015,3,Silvertip Shark,C. albimarginatus,-5.5455,72.21511667,Victory,WiderArchipelago,100,113,140,M,-16.8,14.5,3.4
65,CAL-28,3/22/15,2015,3,Silvertip Shark,C. albimarginatus,-5.5455,72.21511667,Victory,WiderArchipelago,133,139,183,M,-16.1,14.7,3.2
67,CAL-32,3/22/15,2015,3,Silvertip Shark,C. albimarginatus,-5.5455,72.21511667,Victory,WiderArchipelago,130,144,178,M,-17.1,14.7,3.3
123,CAM-43,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.5455,72.21511667,Victory,WiderArchipelago,80,88,100,M,-15.6,14.2,3.2
124,CAM-45,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.5455,72.21511667,Victory,WiderArchipelago,107,116,138,M,-15.9,14.3,3.2
13,CAL-60,4/16/16,2016,4,Silvertip Shark,C. albimarginatus,-5.4657,71.8324,Peros Banhos,WiderArchipelago,101,112,139,F,-15.8,14.7,3.2
82,CAM-50,4/16/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.4657,71.8324,Peros Banhos,WiderArchipelago,90,99.5,118,M,-16.8,16.8,3.5
121,CAM-56,4/8/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.465,71.82221667,Peros Banhos,WiderArchipelago,100,110,135,F,-15.1,14.6,3.2
75,CAM-32,4/8/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.464616667,71.82333333,Peros Banhos,WiderArchipelago,106,119,141,F,-15.1,14.3,3.3
76,CAM-37,4/16/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.464616667,71.82333333,Peros Banhos,WiderArchipelago,109,121,143,F,-16.2,14.9,3.4
78,CAM-42,4/8/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.464616667,71.82333333,Peros Banhos,WiderArchipelago,116,124,156,F,-15.9,14.7,3.2
77,CAM-40,4/16/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.464616667,71.82333333,Peros Banhos,WiderArchipelago,102,114,136,M,-13.7,11.0,2.9
79,CAM-45,4/16/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.464166667,71.82418333,Peros Banhos,WiderArchipelago,91,98,117,F,-15.5,14.7,3.2
37,CAL-72,4/8/16,2016,4,Silvertip Shark,C. albimarginatus,-5.4639,71.82406667,Peros Banhos,WiderArchipelago,104,115,137,M,-16.2,14.3,3.2
96,CAM-12,3/22/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.459283333,71.80891667,Peros Banhos,WiderArchipelago,81,91,110,M,-19.5,17.1,4.9
120,CAM-51,4/8/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.458883333,71.82953333,Peros Banhos,WiderArchipelago,87,95,114,M,-16.0,14.7,3.2
80,CAM-47,4/16/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.456133333,71.82545,Peros Banhos,WiderArchipelago,113,129,155,F,-13.7,11.4,2.9
99,CAM-17,3/21/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.450966667,71.82426667,Peros Banhos,WiderArchipelago,106,115,141,F,-15.4,14.8,3.2
97,CAM-13,3/21/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.450966667,71.82426667,Peros Banhos,WiderArchipelago,105,116,131,F,-13.7,14.9,3.2
100,CAM-24,3/21/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.450966667,71.82426667,Peros Banhos,WiderArchipelago,107,116,133,F,-13.5,12.2,2.9
98,CAM-16,3/21/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.450966667,71.82426667,Peros Banhos,WiderArchipelago,109,120,145,F,-15.5,13.9,3.3
101,CAM-28,3/21/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.450966667,71.82426667,Peros Banhos,WiderArchipelago,125,133,150,F,-15.6,14.7,3.2
19,CAL-4,3/22/14,2014,3,Silvertip Shark,C. albimarginatus,-5.449833333,71.825,Peros Banhos,WiderArchipelago,74,83,104,M,-15.9,13.8,3.2
106,CAM-4,3/22/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.449833333,71.825,Peros Banhos,WiderArchipelago,75,84,106,F,-13.3,14.3,3.2
103,CAM-1,3/22/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.449833333,71.825,Peros Banhos,WiderArchipelago,101,111,137,F,-13.9,12.6,2.9
105,CAM-3,3/22/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.449833333,71.825,Peros Banhos,WiderArchipelago,89,98,125,M,-12.8,13.3,3.2
107,CAM-5,3/22/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.44515,71.764,Peros Banhos,WiderArchipelago,99,113,140,F,-15.6,14.9,3.3
18,CAL-2,3/29/14,2014,3,Silvertip Shark,C. albimarginatus,-5.444583333,72.825,Peros Banhos,WiderArchipelago,88,95,115,M,-16.0,13.6,3.2
26,CAL-5,3/25/14,2014,3,Silvertip Shark,C. albimarginatus,-5.370616667,72.20546667,Salomon,WiderArchipelago,88,97,119,F,-13.1,13.1,2.9
23,CAL-13,3/25/14,2014,3,Silvertip Shark,C. albimarginatus,-5.369566667,72.21288333,Salomon,WiderArchipelago,87,101,115,F,-16.1,14.7,3.3
27,CAL-6/AS-7,3/24/14,2014,3,Silvertip Shark,C. albimarginatus,-5.367483333,72.21995,Salomon,WiderArchipelago,80,89,108,F,-16.8,13.7,3.3
29,CAL-9,3/25/14,2014,3,Silvertip Shark,C. albimarginatus,-5.367266667,72.22035,Salomon,WiderArchipelago,78,86,104,F,-16.3,14.5,3.2
30,CAL-36,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.367266667,72.22035,Salomon,WiderArchipelago,93,102,122,F,-16.2,14.6,3.2
28,CAL-7,3/24/14,2014,3,Silvertip Shark,C. albimarginatus,-5.367266667,72.22035,Salomon,WiderArchipelago,101,112,122,F,-15.2,12.7,3.1
111,CAM-33,4/14/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.365966667,72.20743333,Salomon,WiderArchipelago,113,125,152,F,-15.5,14.2,3.2
17,CAL-17,3/28/15,2015,3,Silvertip Shark,C. albimarginatus,-5.338133333,71.96768333,Peros Banhos,WiderArchipelago,100,110,132,F,-14.7,14.2,3.3
108,CAM-7,3/23/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.33685,72.2272,Salomon,WiderArchipelago,84,94,116,M,-13.2,14.2,3.4
109,CAM-8,3/23/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.33685,72.2272,Salomon,WiderArchipelago,98,108,125,M,-12.3,13.5,2.9
32,CAL-38,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.316666667,72.27615,Salomon,WiderArchipelago,104,116,144,F,-15.7,14.9,3.2
83,CAM-29,3/24/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.316183333,72.23473611,Salomon,WiderArchipelago,107,115.5,131,M,-15.0,14.8,3.2
31,CAL-37,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.314283333,72.27083333,Salomon,WiderArchipelago,79,87,104,F,-15.0,15.5,3.3
