iso1,iso2,group,community
-13,14.2,GreyReef,WiderArchipelago
-16.3,14.3,GreyReef,WiderArchipelago
-15.6,14.2,GreyReef,WiderArchipelago
-16.1,14.3,Silvertip,WiderArchipelago
-14.9,14,GreyReef,WiderArchipelago
-14,14.7,GreyReef,WiderArchipelago
-15.2,13.9,Silvertip,WiderArchipelago
-15.9,14.7,Silvertip,WiderArchipelago
-15.8,14.7,Silvertip,WiderArchipelago
-13.2,12.5,Silvertip,WiderArchipelago
-15.9,14.1,Silvertip,WiderArchipelago
-16.6,13.8,Silvertip,WiderArchipelago
-14.9,14.7,GreyReef,WiderArchipelago
-14.1,14.9,GreyReef,WiderArchipelago
-14.6,15.5,GreyReef,WiderArchipelago
-15.5,15.6,GreyReef,WiderArchipelago
-16.6,14.3,Silvertip,WiderArchipelago
-15.8,15.2,Silvertip,WiderArchipelago
-16.7,14.2,Silvertip,WiderArchipelago
-15.4,15.1,GreyReef,WiderArchipelago
-15.6,14.6,GreyReef,WiderArchipelago
-15.9,14,GreyReef,WiderArchipelago
-15.2,14.8,GreyReef,WiderArchipelago
-14.6,15.1,GreyReef,WiderArchipelago
-15.4,14.6,GreyReef,WiderArchipelago
-15.2,15,GreyReef,WiderArchipelago
-15.7,14,GreyReef,WiderArchipelago
-15.5,14.9,GreyReef,WiderArchipelago
-15.7,14.5,Silvertip,WiderArchipelago
-15.4,14.2,Silvertip,WiderArchipelago
-16.8,14.5,Silvertip,WiderArchipelago
-16.1,14.7,Silvertip,WiderArchipelago
-17.1,14.7,Silvertip,WiderArchipelago
-15.6,14.2,GreyReef,WiderArchipelago
-15.9,14.3,GreyReef,WiderArchipelago
-15.8,14.7,Silvertip,WiderArchipelago
-16.8,16.8,GreyReef,WiderArchipelago
-15.1,14.6,GreyReef,WiderArchipelago
-15.1,14.3,GreyReef,WiderArchipelago
-16.2,14.9,GreyReef,WiderArchipelago
-15.9,14.7,GreyReef,WiderArchipelago
-13.7,11,GreyReef,WiderArchipelago
-15.5,14.7,GreyReef,WiderArchipelago
-16.2,14.3,Silvertip,WiderArchipelago
-19.5,17.1,GreyReef,WiderArchipelago
-16,14.7,GreyReef,WiderArchipelago
-13.7,11.4,GreyReef,WiderArchipelago
-15.4,14.8,GreyReef,WiderArchipelago
-13.7,14.9,GreyReef,WiderArchipelago
-13.5,12.2,GreyReef,WiderArchipelago
-15.5,13.9,GreyReef,WiderArchipelago
-15.6,14.7,GreyReef,WiderArchipelago
-15.9,13.8,Silvertip,WiderArchipelago
-13.3,14.3,GreyReef,WiderArchipelago
-13.9,12.6,GreyReef,WiderArchipelago
-12.8,13.3,GreyReef,WiderArchipelago
-15.6,14.9,GreyReef,WiderArchipelago
-16,13.6,Silvertip,WiderArchipelago
-13.1,13.1,Silvertip,WiderArchipelago
-16.1,14.7,Silvertip,WiderArchipelago
-16.8,13.7,Silvertip,WiderArchipelago
-16.3,14.5,Silvertip,WiderArchipelago
-16.2,14.6,Silvertip,WiderArchipelago
-15.2,12.7,Silvertip,WiderArchipelago
-15.5,14.2,GreyReef,WiderArchipelago
-14.7,14.2,Silvertip,WiderArchipelago
-13.2,14.2,GreyReef,WiderArchipelago
-12.3,13.5,GreyReef,WiderArchipelago
-15.7,14.9,Silvertip,WiderArchipelago
-15,14.8,GreyReef,WiderArchipelago
-15,15.5,Silvertip,WiderArchipelago
-15.9,14.9,Silvertip,WiderArchipelago
-16.3,15.7,Silvertip,WiderArchipelago
-15.7,14.8,Silvertip,WiderArchipelago
-15,14.2,GreyReef,WiderArchipelago
-15.9,13.7,Silvertip,WiderArchipelago
-15.6,14.7,Silvertip,WiderArchipelago
-15.4,14.6,GreyReef,WiderArchipelago
-13.2,14.4,GreyReef,WiderArchipelago
-15.6,14.6,Silvertip,WiderArchipelago
-17,16.6,GreyReef,WiderArchipelago
-16,15,GreyReef,WiderArchipelago
-14,14.6,GreyReef,WiderArchipelago
-15.1,14.5,Silvertip,WiderArchipelago
-15.1,14.1,GreyReef,WiderArchipelago
-15,14.7,Silvertip,WiderArchipelago
-14.3,12.8,Silvertip,WiderArchipelago
-17.1,13,GreyReef,WiderArchipelago
-15.5,13.6,GreyReef,WiderArchipelago
-15.7,14.1,GreyReef,WiderArchipelago
